"","SampleID","Date","Month","Year","Individual","SampleType","NumberReads","Unit","AgeYear","AgeMonth","AgeMonth_cat","Weaned","Sex","Parity","MomRank","MomRank_cat","Season","Rain30","Rain30_cat","MinT30","MinT30_cat","ReproState","Mother","MatchedMomSample"
"LID_102765","LID_102765",2018-12-19,"12","2018","F2","Adult female",674043,"A",14.56438356,174.295081967213,">18","No","Female","Multiparous",0,"Low","ColdDry",18.9,"Dry",7.869230769,"Cold","L2",NA,NA
"LID_102768","LID_102768",2019-01-22,"1","2019","F6","Adult female",82754,"A",8.369863014,100.16393442623,">18",NA,"Female",NA,NA,NA,"ColdDry",0,"Dry",6.451851852,"Cold","Cycling",NA,NA
"LID_102769","LID_102769",2018-09-10,"9","2018","F27","Adult female",473817,"D2",15.63013699,187.049180327869,">18",NA,"Female",NA,NA,NA,"ColdWet",403.8,"Wet",8.06,"Cold",NA,NA,NA
"LID_102770","LID_102770",2018-09-12,"9","2018","F31","Adult female",411700,"D1",9.030136986,108.065573770492,">18",NA,"Female",NA,NA,NA,"ColdWet",440.9,"Wet",8.05483871,"Cold",NA,NA,NA
"LID_102771","LID_102771",2018-09-18,"9","2018","F49","Adult female",284950,"M1",11.19452055,133.967213114754,">18","No","Female","Multiparous",0.4,"Med","ColdWet",338,"Wet",8.116129032,"Cold","L1",NA,NA
"LID_102773","LID_102773",2018-12-19,"12","2018","F6","Adult female",593600,"A",8.276712329,99.0491803278689,">18",NA,"Female",NA,NA,NA,"ColdDry",18.9,"Dry",7.869230769,"Cold","Cycling",NA,NA
"LID_102776","LID_102776",2019-01-22,"1","2019","F57","Adult female",111952,"N",12.10410959,144.852459016393,">18","No","Female","Multiparous",0,"Low","ColdDry",0,"Dry",6.451851852,"Cold","L2",NA,NA
"LID_102785","LID_102785",2018-09-10,"9","2018","F26","Adult female",369518,"D1",17.57534247,210.327868852459,">18",NA,"Female",NA,NA,NA,"ColdWet",403.8,"Wet",8.06,"Cold",NA,NA,NA
"LID_102786","LID_102786",2018-09-13,"9","2018","F70","Adult female",85884,"V",11.51780822,137.83606557377,">18","No","Female","Multiparous",0.8,"High","ColdWet",457.9,"Wet",8.012903226,"Cold","L1",NA,NA
"LID_102787","LID_102787",2019-01-03,"1","2019","F51","Adult female",313567,"M2",16.20547945,193.934426229508,">18",NA,"Female",NA,NA,NA,"ColdDry",0.9,"Dry",7.517857143,"Cold","Cycling",NA,NA
"LID_102789","LID_102789",2018-12-19,"12","2018","F54","Adult female",682549,"N",13.30684932,159.245901639344,">18","No","Female","Multiparous",0.25,"Low","ColdDry",18.9,"Dry",7.869230769,"Cold","L2",NA,NA
"LID_102802","LID_102802",2018-09-17,"9","2018","F42","Adult female",88655,"M1",7.920547945,94.7868852459016,">18",NA,"Female",NA,NA,NA,"ColdWet",345,"Wet",8.109677419,"Cold","Cycling",NA,NA
"LID_102817","LID_102817",2018-12-06,"12","2018","F18","Adult female",52613,"C3",16.26575342,194.655737704918,">18","No","Female","Multiparous",1,"High","ColdDry",55,"Dry",7.911111111,"Cold","L2",NA,NA
"LID_102820","LID_102820",2018-10-02,"10","2018","F20","Adult female",102486,"C3",12.1890411,145.868852459016,">18","No","Female","Multiparous",0,"Low","ColdDry",157.2,"Dry",8.203846154,"Cold","L2",NA,NA
"LID_102821","LID_102821",2018-10-05,"10","2018","F73","Adult female",312579,"V",10.85205479,129.868852459016,">18",NA,"Female",NA,NA,NA,"ColdDry",141.2,"Dry",8.211538462,"Cold","Cycling",NA,NA
"LID_102822","LID_102822",2018-11-07,"11","2018","F21","Adult female",75534,"C3",9.717808219,116.295081967213,">18",NA,"Female",NA,NA,NA,"ColdDry",164.5,"Dry",8.242307692,"Cold","Cycling",NA,NA
"LID_102824","LID_102824",2018-11-14,"11","2018","F43","Adult female",940153,"M2",21.23561644,254.131147540984,">18","No","Female","Multiparous",0.75,"High","ColdDry",92.2,"Dry",8.075,"Cold","L2",NA,NA
"LID_102828","LID_102828",2018-10-02,"10","2018","F30","Adult female",1181223,"D2",9.720547945,116.327868852459,">18",NA,"Female",NA,NA,NA,"ColdDry",157.2,"Dry",8.203846154,"Cold",NA,NA,NA
"LID_102829","LID_102829",2018-10-05,"10","2018","F20","Adult female",412688,"C3",12.19726027,145.967213114754,">18","No","Female","Multiparous",0,"Low","ColdDry",141.2,"Dry",8.211538462,"Cold","L2",NA,NA
"LID_102830","LID_102830",2018-11-07,"11","2018","F75","Adult female",138414,"V",19.77808219,236.688524590164,">18","No","Female","Multiparous",0.4,"Med","ColdDry",164.5,"Dry",8.242307692,"Cold","L1",NA,NA
"LID_102831","LID_102831",2018-11-12,"11","2018","F19","Adult female",862705,"C5",13.41917808,160.590163934426,">18","No","Female","Multiparous",0.666666666666667,"Med","ColdDry",110.5,"Dry",8.2,"Cold","L1",NA,NA
"LID_102832","LID_102832",2018-11-14,"11","2018","F46","Adult female",135964,"M2",6.446575342,77.1475409836066,">18","No","Female","Primiparous",0.25,"Low","ColdDry",92.2,"Dry",8.075,"Cold","L1",NA,NA
"LID_102833","LID_102833",2018-12-06,"12","2018","F29","Adult female",1092691,"D1",5.684931507,68.0327868852459,">18",NA,"Female",NA,NA,NA,"ColdDry",55,"Dry",7.911111111,"Cold",NA,NA,NA
"LID_102835","LID_102835",2018-10-01,"10","2018","F19","Adult female",125878,"C5",13.30410959,159.213114754098,">18",NA,"Female","Multiparous",NA,NA,"ColdDry",158.6,"Dry",8.192307692,"Cold","Pregnant",NA,NA
"LID_102836","LID_102836",2018-10-03,"10","2018","F37","Adult female",213844,"J1",15.26849315,182.72131147541,">18",NA,"Female","Multiparous",NA,NA,"ColdDry",156.2,"Dry",8.165384615,"Cold","Pregnant",NA,NA
"LID_102837","LID_102837",2018-10-05,"10","2018","F40","Adult female",204610,"K",11.57808219,138.55737704918,">18",NA,"Female","Multiparous",NA,NA,"ColdDry",141.2,"Dry",8.211538462,"Cold","Pregnant",NA,NA
"LID_102838","LID_102838",2018-11-08,"11","2018","F44","Adult female",250047,"M1",13.90684932,166.426229508197,">18","No","Female","Multiparous",0.4,"Med","ColdDry",139.5,"Dry",8.237037037,"Cold","L1",NA,NA
"LID_102839","LID_102839",2018-11-12,"11","2018","F70","Adult female",307517,"V",11.68219178,139.803278688525,">18","No","Female","Multiparous",0.8,"High","ColdDry",110.5,"Dry",8.2,"Cold","L1",NA,NA
"LID_102840","LID_102840",2018-11-14,"11","2018","F47","Adult female",997463,"M2",16.03835616,191.934426229508,">18","No","Female","Multiparous",1,"High","ColdDry",92.2,"Dry",8.075,"Cold","L2",NA,NA
"LID_102844","LID_102844",2018-10-03,"10","2018","F47","Adult female",206586,"M2",15.92328767,190.55737704918,">18","No","Female","Multiparous",1,"High","ColdDry",156.2,"Dry",8.165384615,"Cold","L2",NA,NA
"LID_102845","LID_102845",2018-10-05,"10","2018","F71","Adult female",203535,"V",13.64657534,163.311475409836,">18","No","Female","Multiparous",0,"Low","ColdDry",141.2,"Dry",8.211538462,"Cold","L1",NA,NA
"LID_102847","LID_102847",2018-11-12,"11","2018","F75","Adult female",342913,"V",19.79178082,236.852459016393,">18","No","Female","Multiparous",0.4,"Med","ColdDry",110.5,"Dry",8.2,"Cold","L1",NA,NA
"LID_102848","LID_102848",2018-11-15,"11","2018","F74","Adult female",1319887,"V",6.8,81.3770491803279,">18","No","Female","Primiparous",1,"High","ColdDry",100.6,"Dry",8.042857143,"Cold","L1",NA,NA
"LID_102849","LID_102849",2018-12-06,"12","2018","F51","Adult female",183832,"M2",16.12876712,193.016393442623,">18",NA,"Female",NA,NA,NA,"ColdDry",55,"Dry",7.911111111,"Cold","Cycling",NA,NA
"LID_102851","LID_102851",2018-10-01,"10","2018","F26","Adult female",92383,"D1",17.63287671,211.016393442623,">18",NA,"Female",NA,NA,NA,"ColdDry",158.6,"Dry",8.192307692,"Cold",NA,NA,NA
"LID_102852","LID_102852",2018-10-04,"10","2018","F43","Adult female",617696,"M2",21.12328767,252.786885245902,">18","No","Female","Multiparous",0.75,"High","ColdDry",153.2,"Dry",8.157692308,"Cold","L2",NA,NA
"LID_102853","LID_102853",2018-10-09,"10","2018","F70","Adult female",553062,"V",11.5890411,138.688524590164,">18","No","Female","Multiparous",0.8,"High","ColdDry",194,"Dry",8.172,"Cold","L1",NA,NA
"LID_102854","LID_102854",2018-11-09,"11","2018","F21","Adult female",242842,"C3",9.723287671,116.360655737705,">18",NA,"Female",NA,NA,NA,"ColdDry",109.5,"Dry",8.246428571,"Cold","Cycling",NA,NA
"LID_102855","LID_102855",2018-11-12,"11","2018","F22","Adult female",369410,"C5",14.74520548,176.459016393443,">18","No","Female","Multiparous",1,"High","ColdDry",110.5,"Dry",8.2,"Cold","L1",NA,NA
